segment_text,main_category,subcategory,combined_category,word_count,token_count,start_position,end_position,original_sentence,token_ids,segment_id
chiese.,UNLABELLED,UNLABELLED,UNLABELLED,1,2,783,790,chiese.,"['8-1', '8-2']",11
« Giù al fiume. »,UNLABELLED,UNLABELLED,UNLABELLED,3,6,794,809,«Giù al fiume.»,"['9-1', '9-2', '9-3', '9-4', '9-5', '9-6']",12
"Non vedevamo ancora il fiume ma era là sotto, nella sua valle scavata da secoli e guardata da qualche pigro coccodrillo a caccia di lavandaie.",Description,Landscape,Description_Landscape,25,27,810,952,"Non vedevamo ancora il fiume ma era là sotto, nella sua valle scavata da secoli e guardata da qualche pigro coccodrillo a caccia di lavandaie.","['10-1', '10-2', '10-3', '10-4', '10-5', '10-6', '10-7', '10-8', '10-9', '10-10', '10-11', '10-12', '10-13', '10-14', '10-15', '10-16', '10-17', '10-18', '10-19', '10-20', '10-21', '10-22', '10-23', '10-24', '10-25', '10-26', '10-27']",13
Pensavo di trovare un autocarro per risalire dall ’ altra parte.,UNLABELLED,UNLABELLED,UNLABELLED,10,12,953,1015,Pensavo di trovare un autocarro per risalire dall’altra parte.,"['11-1', '11-2', '11-3', '11-4', '11-5', '11-6', '11-7', '11-8', '11-9', '11-10', '11-11', '11-12']",14
Dovevo esservi prima di sera o sciupavo uno dei quattro giorni che m ’ avevano concesso per trovare un dentista.,UNLABELLED,UNLABELLED,UNLABELLED,19,21,1016,1126,Dovevo esservi prima di sera o sciupavo uno dei quattro giorni che m’avevano concesso per trovare un dentista.,"['12-1', '12-2', '12-3', '12-4', '12-5', '12-6', '12-7', '12-8', '12-9', '12-10', '12-11', '12-12', '12-13', '12-14', '12-15', '12-16', '12-17', '12-18', '12-19', '12-20', '12-21']",15
"Sì, dovevo andarmene.",UNLABELLED,UNLABELLED,UNLABELLED,3,5,1130,1151,"Sì, dovevo andarmene.","['13-1', '13-2', '13-3', '13-4', '13-5']",16
"Oltre la valle, nel cielo bianco, appariva il ciglio opposto dell ’ altopiano.",Description,Landscape,Description_Landscape,12,16,1152,1228,"Oltre la valle, nel cielo bianco, appariva il ciglio opposto dell’altopiano.","['14-1', '14-2', '14-3', '14-4', '14-5', '14-6', '14-7', '14-8', '14-9', '14-10', '14-11', '14-12', '14-13', '14-14', '14-15', '14-16']",17
Il fiume aveva scavato attorno alle montagne lasciandole asciutte come ossi.,Description,Landscape,Description_Landscape,11,12,1229,1305,Il fiume aveva scavato attorno alle montagne lasciandole asciutte come ossi.,"['15-1', '15-2', '15-3', '15-4', '15-5', '15-6', '15-7', '15-8', '15-9', '15-10', '15-11', '15-12']",18
"Tra i due cigli correvano chilometri, quanti non so, perché le distanze ingannano con questa luce che disegna le più lontane minuzie: forse cinque o sei.",Description,Landscape,Description_Landscape,26,30,1306,1459,"Tra i due cigli correvano chilometri, quanti non so, perché le distanze ingannano con questa luce che disegna le più lontane minuzie: forse cinque o sei.","['16-1', '16-2', '16-3', '16-4', '16-5', '16-6', '16-7', '16-8', '16-9', '16-10', '16-11', '16-12', '16-13', '16-14', '16-15', '16-16', '16-17', '16-18', '16-19', '16-20', '16-21', '16-22', '16-23', '16-24', '16-25', '16-26', '16-27', '16-28', '16-29', '16-30']",19
"E, oltre il ciglio, la vita calma dei depositi.",UNLABELLED,UNLABELLED,UNLABELLED,9,12,1460,1507,"E, oltre il ciglio, la vita calma dei depositi.","['17-1', '17-2', '17-3', '17-4', '17-5', '17-6', '17-7', '17-8', '17-9', '17-10', '17-11', '17-12']",20
"Ancora avanti, e la parola domenica avrebbe riacquistato valore.",UNLABELLED,UNLABELLED,UNLABELLED,9,11,1508,1572,"Ancora avanti, e la parola domenica avrebbe riacquistato valore.","['18-1', '18-2', '18-3', '18-4', '18-5', '18-6', '18-7', '18-8', '18-9', '18-10', '18-11']",21
"Avrei trovato il primo letto con le lenzuola, il primo giornalaio.",UNLABELLED,UNLABELLED,UNLABELLED,11,13,1573,1639,"Avrei trovato il primo letto con le lenzuola, il primo giornalaio.","['19-1', '19-2', '19-3', '19-4', '19-5', '19-6', '19-7', '19-8', '19-9', '19-10', '19-11', '19-12', '19-13']",22
E un dentista.,UNLABELLED,UNLABELLED,UNLABELLED,3,4,1640,1654,E un dentista.,"['20-1', '20-2', '20-3', '20-4']",23
Il soldato non voleva cedere.,Conqueror,UNLABELLED,Conqueror,5,6,1658,1687,Il soldato non voleva cedere.,"['21-1', '21-2', '21-3', '21-4', '21-5', '21-6']",24
"« Aspetti, » disse « passerà qualcuno. »",UNLABELLED,UNLABELLED,UNLABELLED,4,10,1688,1724,"«Aspetti,» disse «passerà qualcuno.»","['22-1', '22-2', '22-3', '22-4', '22-5', '22-6', '22-7', '22-8', '22-9', '22-10']",25
Guardai il camion che giaceva con le ruote contro la scarpata e scossi la testa: non passava nessuno.,UNLABELLED,UNLABELLED,UNLABELLED,18,20,1725,1826,Guardai il camion che giaceva con le ruote contro la scarpata e scossi la testa: non passava nessuno.,"['23-1', '23-2', '23-3', '23-4', '23-5', '23-6', '23-7', '23-8', '23-9', '23-10', '23-11', '23-12', '23-13', '23-14', '23-15', '23-16', '23-17', '23-18', '23-19', '23-20']",26
"Era passato soltanto un colonnello, annoiato come un generale.",Conqueror,UNLABELLED,Conqueror,9,11,1827,1889,"Era passato soltanto un colonnello, annoiato come un generale.","['24-1', '24-2', '24-3', '24-4', '24-5', '24-6', '24-7', '24-8', '24-9', '24-10', '24-11']",27
E la petulanza del soldato cominciava a infastidirmi.,UNLABELLED,UNLABELLED,UNLABELLED,8,9,1890,1943,E la petulanza del soldato cominciava a infastidirmi.,"['25-1', '25-2', '25-3', '25-4', '25-5', '25-6', '25-7', '25-8', '25-9']",28
"Essersi salvati insieme non mi sembrava più una buona ragione per mostrarci fotografie, raccontarci i fatti propri, azzardare le solite previsioni sul nostro ritorno in Italia.",UNLABELLED,UNLABELLED,UNLABELLED,26,29,1944,2120,"Essersi salvati insieme non mi sembrava più una buona ragione per mostrarci fotografie, raccontarci i fatti propri, azzardare le solite previsioni sul nostro ritorno in Italia.","['26-1', '26-2', '26-3', '26-4', '26-5', '26-6', '26-7', '26-8', '26-9', '26-10', '26-11', '26-12', '26-13', '26-14', '26-15', '26-16', '26-17', '26-18', '26-19', '26-20', '26-21', '26-22', '26-23', '26-24', '26-25', '26-26', '26-27', '26-28', '26-29']",29
"Pure, mi dispiaceva abbandonarlo.",UNLABELLED,UNLABELLED,UNLABELLED,4,6,2121,2154,"Pure, mi dispiaceva abbandonarlo.","['27-1', '27-2', '27-3', '27-4', '27-5', '27-6']",30
"« E così, mi lascia solo ? »",UNLABELLED,UNLABELLED,UNLABELLED,5,9,2158,2183,"«E così, mi lascia solo?»","['28-1', '28-2', '28-3', '28-4', '28-5', '28-6', '28-7', '28-8', '28-9']",31
"Cominciai a raccogliere la mia roba, lo zaino, il cinturone con la rivoltella.",UNLABELLED,UNLABELLED,UNLABELLED,13,16,2187,2265,"Cominciai a raccogliere la mia roba, lo zaino, il cinturone con la rivoltella.","['29-1', '29-2', '29-3', '29-4', '29-5', '29-6', '29-7', '29-8', '29-9', '29-10', '29-11', '29-12', '29-13', '29-14', '29-15', '29-16']",32
"Per mitigare la mia fuga cercai un pretesto, ma era un cattivo pretesto: gli dissi che se avessi trovato un camion giù al fiume (spesso i conducenti si fermavano a fare il bagno), sarei tornato ad aiutarlo.",UNLABELLED,UNLABELLED,UNLABELLED,37,43,2266,2472,"Per mitigare la mia fuga cercai un pretesto, ma era un cattivo pretesto: gli dissi che se avessi trovato un camion giù al fiume (spesso i conducenti si fermavano a fare il bagno), sarei tornato ad aiutarlo.","['30-1', '30-2', '30-3', '30-4', '30-5', '30-6', '30-7', '30-8', '30-9', '30-10', '30-11', '30-12', '30-13', '30-14', '30-15', '30-16', '30-17', '30-18', '30-19', '30-20', '30-21', '30-22', '30-23', '30-24', '30-25', '30-26', '30-27', '30-28', '30-29', '30-30', '30-31', '30-32', '30-33', '30-34', '30-35', '30-36', '30-37', '30-38', '30-39', '30-40', '30-41', '30-42', '30-43']",33
Il soldato finse di crederci e questa sua improvvisa e ostile condiscendenza mi fece arrossire.,Conqueror,UNLABELLED,Conqueror,15,16,2473,2568,Il soldato finse di crederci e questa sua improvvisa e ostile condiscendenza mi fece arrossire.,"['31-1', '31-2', '31-3', '31-4', '31-5', '31-6', '31-7', '31-8', '31-9', '31-10', '31-11', '31-12', '31-13', '31-14', '31-15', '31-16']",34
"Mi strinse la mano senza calore, veramente deluso.",Conqueror,UNLABELLED,Conqueror,8,10,2569,2619,"Mi strinse la mano senza calore, veramente deluso.","['32-1', '32-2', '32-3', '32-4', '32-5', '32-6', '32-7', '32-8', '32-9', '32-10']",35
"Dopo cinquanta passi, un gomito della strada me li nascose, lui e il suo autocarro,",UNLABELLED,UNLABELLED,UNLABELLED,15,18,2620,2703,"Dopo cinquanta passi, un gomito della strada me li nascose, lui e il suo autocarro, e d’allora non li ho più rivisti.","['33-1', '33-2', '33-3', '33-4', '33-5', '33-6', '33-7', '33-8', '33-9', '33-10', '33-11', '33-12', '33-13', '33-14', '33-15', '33-16', '33-17', '33-18']",36
e d ’ allora non li ho più rivisti.,Narrator,Knowledge,Narrator_Knowledge,8,10,2704,2737,"Dopo cinquanta passi, un gomito della strada me li nascose, lui e il suo autocarro, e d’allora non li ho più rivisti.","['33-19', '33-20', '33-21', '33-22', '33-23', '33-24', '33-25', '33-26', '33-27', '33-28']",37
Era ancora molto lontano il ponte ?,UNLABELLED,UNLABELLED,UNLABELLED,6,7,2741,2775,Era ancora molto lontano il ponte?,"['34-1', '34-2', '34-3', '34-4', '34-5', '34-6', '34-7']",38
"Avrei potuto prendere una scorciatoia,",UNLABELLED,UNLABELLED,UNLABELLED,5,6,2776,2814,"Avrei potuto prendere una scorciatoia, ma non ho troppa fiducia delle scorciatoie africane.","['35-1', '35-2', '35-3', '35-4', '35-5', '35-6']",39
ma non ho troppa fiducia delle scorciatoie africane.,Narrator,Indexicals,Narrator_Indexicals,8,9,2815,2867,"Avrei potuto prendere una scorciatoia, ma non ho troppa fiducia delle scorciatoie africane.","['35-7', '35-8', '35-9', '35-10', '35-11', '35-12', '35-13', '35-14', '35-15']",40
"Pure ogni tanto la strada, dalla parte del fiume, si apriva a qualche sentiero che, dopo brevi giravolte, precipitava verso la boscaglia.",Description,Landscape,Description_Landscape,22,27,2868,3005,"Pure ogni tanto la strada, dalla parte del fiume, si apriva a qualche sentiero che, dopo brevi giravolte, precipitava verso la boscaglia.","['36-1', '36-2', '36-3', '36-4', '36-5', '36-6', '36-7', '36-8', '36-9', '36-10', '36-11', '36-12', '36-13', '36-14', '36-15', '36-16', '36-17', '36-18', '36-19', '36-20', '36-21', '36-22', '36-23', '36-24', '36-25', '36-26', '36-27']",41
"Trascurai, dunque, le scorciatoie e dopo due ore (il caldo era aumentato e gli alberi spaventosamente cresciuti, ma sempre più di cartapesta, sempre più vecchi e untuosi, come santi di una religione scaduta), vidi che la boscaglia infittiva e che la strada diventava calda e sabbiosa.",Description,Landscape,Description_Landscape,46,55,3009,3293,"Trascurai, dunque, le scorciatoie e dopo due ore (il caldo era aumentato e gli alberi spaventosamente cresciuti, ma sempre più di cartapesta, sempre più vecchi e untuosi, come santi di una religione scaduta), vidi che la boscaglia infittiva e che la strada diventava calda e sabbiosa.","['37-1', '37-2', '37-3', '37-4', '37-5', '37-6', '37-7', '37-8', '37-9', '37-10', '37-11', '37-12', '37-13', '37-14', '37-15', '37-16', '37-17', '37-18', '37-19', '37-20', '37-21', '37-22', '37-23', '37-24', '37-25', '37-26', '37-27', '37-28', '37-29', '37-30', '37-31', '37-32', '37-33', '37-34', '37-35', '37-36', '37-37', '37-38', '37-39', '37-40', '37-41', '37-42', '37-43', '37-44', '37-45', '37-46', '37-47', '37-48', '37-49', '37-50', '37-51', '37-52', '37-53', '37-54', '37-55']",42
Il fiume mi fu davanti all ’ improvviso.,UNLABELLED,UNLABELLED,UNLABELLED,7,9,3294,3332,Il fiume mi fu davanti all’improvviso.,"['38-1', '38-2', '38-3', '38-4', '38-5', '38-6', '38-7', '38-8', '38-9']",43
Stavano costruendo un altro ponte.,UNLABELLED,UNLABELLED,UNLABELLED,5,6,3333,3367,Stavano costruendo un altro ponte.,"['39-1', '39-2', '39-3', '39-4', '39-5', '39-6']",44
"Tra i grossi alberi c ’ era ancora qualche croce e sotto la sabbia calda, nelle cassette della carne in scatola e delle gallette, c ’ era ancora qualche cadavere.",Description,Landscape,Description_Landscape,28,33,3371,3529,"Tra i grossi alberi c’era ancora qualche croce e sotto la sabbia calda, nelle cassette della carne in scatola e delle gallette, c’era ancora qualche cadavere.","['40-1', '40-2', '40-3', '40-4', '40-5', '40-6', '40-7', '40-8', '40-9', '40-10', '40-11', '40-12', '40-13', '40-14', '40-15', '40-16', '40-17', '40-18', '40-19', '40-20', '40-21', '40-22', '40-23', '40-24', '40-25', '40-26', '40-27', '40-28', '40-29', '40-30', '40-31', '40-32', '40-33']",45
Qualche soldato che s ’ era fermato dicendo: « Non ce la faccio » e aveva anche penato a convincere il sergente e poi il tenente e poi il capitano che lo lasciassero a riposare,Conqueror,UNLABELLED,Conqueror,32,36,3530,3702,Qualche soldato che s’era fermato dicendo: «Non ce la faccio» e aveva anche penato a convincere il sergente e poi il tenente e poi il capitano che lo lasciassero a riposare.,"['41-1', '41-2', '41-3', '41-4', '41-5', '41-6', '41-7', '41-8', '41-9', '41-10', '41-11', '41-12', '41-13', '41-14', '41-15', '41-16', '41-17', '41-18', '41-19', '41-20', '41-21', '41-22', '41-23', '41-24', '41-25', '41-26', '41-27', '41-28', '41-29', '41-30', '41-31', '41-32', '41-33', '41-34', '41-35', '41-36']",46
.,UNLABELLED,UNLABELLED,UNLABELLED,0,1,3702,3703,Qualche soldato che s’era fermato dicendo: «Non ce la faccio» e aveva anche penato a convincere il sergente e poi il tenente e poi il capitano che lo lasciassero a riposare.,['41-37'],47
"E qualcosa di quella natura l ’ aveva avvertito (forse la sabbia grigia, o le gemme degli alberi), che il suo riposo cominciava davvero.",UNLABELLED,UNLABELLED,UNLABELLED,23,29,3704,3838,"E qualcosa di quella natura l’aveva avvertito (forse la sabbia grigia, o le gemme degli alberi), che il suo riposo cominciava davvero.","['42-1', '42-2', '42-3', '42-4', '42-5', '42-6', '42-7', '42-8', '42-9', '42-10', '42-11', '42-12', '42-13', '42-14', '42-15', '42-16', '42-17', '42-18', '42-19', '42-20', '42-21', '42-22', '42-23', '42-24', '42-25', '42-26', '42-27', '42-28', '42-29']",48
"Quelli che incassano le gallette e la carne, lassù a tante migliaia di chilometri, non sanno che quel legno è prezioso.",UNLABELLED,UNLABELLED,UNLABELLED,21,24,3839,3958,"Quelli che incassano le gallette e la carne, lassù a tante migliaia di chilometri, non sanno che quel legno è prezioso.","['43-1', '43-2', '43-3', '43-4', '43-5', '43-6', '43-7', '43-8', '43-9', '43-10', '43-11', '43-12', '43-13', '43-14', '43-15', '43-16', '43-17', '43-18', '43-19', '43-20', '43-21', '43-22', '43-23', '43-24']",49
Un legno veramente fragile !,UNLABELLED,UNLABELLED,UNLABELLED,4,5,3959,3986,Un legno veramente fragile!,"['44-1', '44-2', '44-3', '44-4', '44-5']",50
"Una cassetta serve sempre, e chi ne possiede appena una si allieta la tenda di un mobile straordinario: nei periodi di calma fa in tempo a mettervi il ritratto della donna amata, tra un libro e la borsa del tabacco.",Conqueror,UNLABELLED,Conqueror,40,44,3987,4202,"Una cassetta serve sempre, e chi ne possiede appena una si allieta la tenda di un mobile straordinario: nei periodi di calma fa in tempo a mettervi il ritratto della donna amata, tra un libro e la borsa del tabacco.","['45-1', '45-2', '45-3', '45-4', '45-5', '45-6', '45-7', '45-8', '45-9', '45-10', '45-11', '45-12', '45-13', '45-14', '45-15', '45-16', '45-17', '45-18', '45-19', '45-20', '45-21', '45-22', '45-23', '45-24', '45-25', '45-26', '45-27', '45-28', '45-29', '45-30', '45-31', '45-32', '45-33', '45-34', '45-35', '45-36', '45-37', '45-38', '45-39', '45-40', '45-41', '45-42', '45-43', '45-44']",51
"E non è tanto difficile procurarsi una donna da amare, quanto procurarsi una cassetta.",Conqueror,UNLABELLED,Conqueror,14,16,4203,4289,"E non è tanto difficile procurarsi una donna da amare, quanto procurarsi una cassetta.","['46-1', '46-2', '46-3', '46-4', '46-5', '46-6', '46-7', '46-8', '46-9', '46-10', '46-11', '46-12', '46-13', '46-14', '46-15', '46-16']",52
Neanche un autocarro.,UNLABELLED,UNLABELLED,UNLABELLED,3,4,4293,4314,Neanche un autocarro.,"['47-1', '47-2', '47-3', '47-4']",53
Gli operai avevano smesso di lavorare per il caldo e mangiavano.,UNLABELLED,UNLABELLED,UNLABELLED,11,12,4315,4379,Gli operai avevano smesso di lavorare per il caldo e mangiavano.,"['48-1', '48-2', '48-3', '48-4', '48-5', '48-6', '48-7', '48-8', '48-9', '48-10', '48-11', '48-12']",54
"Freschi arrivati, a giudicare dai grandi occhiali da sole che non avevano ancora buttati via.",UNLABELLED,UNLABELLED,UNLABELLED,15,17,4380,4473,"Freschi arrivati, a giudicare dai grandi occhiali da sole che non avevano ancora buttati via.","['49-1', '49-2', '49-3', '49-4', '49-5', '49-6', '49-7', '49-8', '49-9', '49-10', '49-11', '49-12', '49-13', '49-14', '49-15', '49-16', '49-17']",55
"Stavano seduti davanti alle loro tende, chiacchierando col carabiniere del posto di blocco, ancora sorpresi di essere capitati laggiù, in quella terra così diversa dall ’ Africa che avevano immaginata.",Conqueror,UNLABELLED,Conqueror,29,34,4474,4673,"Stavano seduti davanti alle loro tende, chiacchierando col carabiniere del posto di blocco, ancora sorpresi di essere capitati laggiù, in quella terra così diversa dall’Africa che avevano immaginata.","['50-1', '50-2', '50-3', '50-4', '50-5', '50-6', '50-7', '50-8', '50-9', '50-10', '50-11', '50-12', '50-13', '50-14', '50-15', '50-16', '50-17', '50-18', '50-19', '50-20', '50-21', '50-22', '50-23', '50-24', '50-25', '50-26', '50-27', '50-28', '50-29', '50-30', '50-31', '50-32', '50-33', '50-34']",56
"Dunque, neanche un autocarro.",UNLABELLED,UNLABELLED,UNLABELLED,4,6,4677,4706,"Dunque, neanche un autocarro.","['51-1', '51-2', '51-3', '51-4', '51-5', '51-6']",57
"Dissero che quello del cantiere era andato via da poco, e se ne sentiva infatti il motore, già lontano, sulle prime salite.",UNLABELLED,UNLABELLED,UNLABELLED,22,26,4707,4830,"Dissero che quello del cantiere era andato via da poco, e se ne sentiva infatti il motore, già lontano, sulle prime salite.","['52-1', '52-2', '52-3', '52-4', '52-5', '52-6', '52-7', '52-8', '52-9', '52-10', '52-11', '52-12', '52-13', '52-14', '52-15', '52-16', '52-17', '52-18', '52-19', '52-20', '52-21', '52-22', '52-23', '52-24', '52-25', '52-26']",58
« E ritorna ? »,UNLABELLED,UNLABELLED,UNLABELLED,2,5,4831,4843,«E ritorna?»,"['53-1', '53-2', '53-3', '53-4', '53-5']",59
"« Domattina » disse un operaio, veramente meravigliato che non conoscessi questo particolare.",UNLABELLED,UNLABELLED,UNLABELLED,11,15,4847,4938,"«Domattina» disse un operaio, veramente meravigliato che non conoscessi questo particolare.","['54-1', '54-2', '54-3', '54-4', '54-5', '54-6', '54-7', '54-8', '54-9', '54-10', '54-11', '54-12', '54-13', '54-14', '54-15']",60
« Torna domattina coi viveri e la posta. »,UNLABELLED,UNLABELLED,UNLABELLED,7,10,4939,4979,«Torna domattina coi viveri e la posta.»,"['55-1', '55-2', '55-3', '55-4', '55-5', '55-6', '55-7', '55-8', '55-9', '55-10']",61
I viveri e la posta.,UNLABELLED,UNLABELLED,UNLABELLED,5,6,4983,5003,I viveri e la posta.,"['56-1', '56-2', '56-3', '56-4', '56-5', '56-6']",62
Toccai attraverso la stoffa della tasca l ’ ultima lettera di lei.,UNLABELLED,UNLABELLED,UNLABELLED,11,13,5004,5068,Toccai attraverso la stoffa della tasca l’ultima lettera di lei.,"['57-1', '57-2', '57-3', '57-4', '57-5', '57-6', '57-7', '57-8', '57-9', '57-10', '57-11', '57-12', '57-13']",63
Era arrivata il giorno prima.,UNLABELLED,UNLABELLED,UNLABELLED,5,6,5069,5098,Era arrivata il giorno prima.,"['58-1', '58-2', '58-3', '58-4', '58-5', '58-6']",64
"Una lunga lettera, fitta di una scrittura eguale, tonda ma esile, e i fogli pieni tutt ’ intorno al margine, senza uno spazio bianco: proprio una lettera da rileggere.",UNLABELLED,UNLABELLED,UNLABELLED,28,35,5099,5264,"Una lunga lettera, fitta di una scrittura eguale, tonda ma esile, e i fogli pieni tutt’intorno al margine, senza uno spazio bianco: proprio una lettera da rileggere.","['59-1', '59-2', '59-3', '59-4', '59-5', '59-6', '59-7', '59-8', '59-9', '59-10', '59-11', '59-12', '59-13', '59-14', '59-15', '59-16', '59-17', '59-18', '59-19', '59-20', '59-21', '59-22', '59-23', '59-24', '59-25', '59-26', '59-27', '59-28', '59-29', '59-30', '59-31', '59-32', '59-33', '59-34', '59-35']",65
"Ma, se non capitava un autocarro, sarei dovuto restare.",UNLABELLED,UNLABELLED,UNLABELLED,9,12,5265,5320,"Ma, se non capitava un autocarro, sarei dovuto restare.","['60-1', '60-2', '60-3', '60-4', '60-5', '60-6', '60-7', '60-8', '60-9', '60-10', '60-11', '60-12']",66
"Cominciavo a perdere la calma, il mio viaggio stava naufragando.",UNLABELLED,UNLABELLED,UNLABELLED,10,12,5321,5385,"Cominciavo a perdere la calma, il mio viaggio stava naufragando.","['61-1', '61-2', '61-3', '61-4', '61-5', '61-6', '61-7', '61-8', '61-9', '61-10', '61-11', '61-12']",67
"Spiegai allora da dove venivo, l ’ importanza che aveva per me l ’ arrivare subito sull ’ altopiano e raccontai l ’ incidente.",UNLABELLED,UNLABELLED,UNLABELLED,20,26,5386,5504,"Spiegai allora da dove venivo, l’importanza che aveva per me l’arrivare subito sull’altopiano e raccontai l’incidente.","['62-1', '62-2', '62-3', '62-4', '62-5', '62-6', '62-7', '62-8', '62-9', '62-10', '62-11', '62-12', '62-13', '62-14', '62-15', '62-16', '62-17', '62-18', '62-19', '62-20', '62-21', '62-22', '62-23', '62-24', '62-25', '62-26']",68
Mentre parlavo vidi che i loro volti restavano impassibili.,UNLABELLED,UNLABELLED,UNLABELLED,9,10,5505,5564,Mentre parlavo vidi che i loro volti restavano impassibili.,"['63-1', '63-2', '63-3', '63-4', '63-5', '63-6', '63-7', '63-8', '63-9', '63-10']",69
"Non mi aspettavo certo di suscitare molto interesse, ma quegli operai non fecero commenti, né proposero soluzioni.",Conqueror,UNLABELLED,Conqueror,17,20,5565,5679,"Non mi aspettavo certo di suscitare molto interesse, ma quegli operai non fecero commenti, né proposero soluzioni.","['64-1', '64-2', '64-3', '64-4', '64-5', '64-6', '64-7', '64-8', '64-9', '64-10', '64-11', '64-12', '64-13', '64-14', '64-15', '64-16', '64-17', '64-18', '64-19', '64-20']",70
Di autocarri che ribaltano è piena l ’ Africa.,UNLABELLED,UNLABELLED,UNLABELLED,8,10,5680,5724,Di autocarri che ribaltano è piena l’Africa.,"['65-1', '65-2', '65-3', '65-4', '65-5', '65-6', '65-7', '65-8', '65-9', '65-10']",71
« A quest ’ ora è difficile che passi un camion » disse infine il carabiniere.,UNLABELLED,UNLABELLED,UNLABELLED,13,17,5728,5802,«A quest’ora è difficile che passi un camion» disse infine il carabiniere.,"['66-1', '66-2', '66-3', '66-4', '66-5', '66-6', '66-7', '66-8', '66-9', '66-10', '66-11', '66-12', '66-13', '66-14', '66-15', '66-16', '66-17']",72
