segment_text,main_category,subcategory,combined_category,word_count,token_count,start_position,end_position,original_sentence,token_ids,segment_id,pos_tags,lemmas,pos_counts,pos_distribution,dominant_pos,lexical_diversity,function_content_ratio,total_tokens
"Non avrebbe resistito alle ombre che la lampada creava negli angoli della stanza, e che avevo dimenticate.",Conqueror,UNLABELLED,Conqueror,17,19,132004,132110,"Non avrebbe resistito alle ombre che la lampada creava negli angoli della stanza, e che avevo dimenticate.","['1402-1', '1402-2', '1402-3', '1402-4', '1402-5', '1402-6', '1402-7', '1402-8', '1402-9', '1402-10', '1402-11', '1402-12', '1402-13', '1402-14', '1402-15', '1402-16', '1402-17', '1402-18', '1402-19']",1474,"['ADV', 'AUX', 'VERB', 'ADP', 'DET', 'NOUN', 'PRON', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'VERB', 'PUNCT']","['non', 'avere', 'resistere', 'a', 'il', 'ombra', 'che', 'il', 'lampada', 'creare', 'in', 'il', 'angolo', 'di', 'il', 'stanza', ',', 'e', 'che', 'avere', 'dimenticare', '.']","{'ADV': 1, 'AUX': 2, 'VERB': 3, 'ADP': 3, 'DET': 4, 'NOUN': 4, 'PRON': 2, 'PUNCT': 2, 'CCONJ': 1}","{'ADV': 0.045454545454545456, 'AUX': 0.09090909090909091, 'VERB': 0.13636363636363635, 'ADP': 0.13636363636363635, 'DET': 0.18181818181818182, 'NOUN': 0.18181818181818182, 'PRON': 0.09090909090909091, 'PUNCT': 0.09090909090909091, 'CCONJ': 0.045454545454545456}",DET,0.7727272727272727,1.5,22
Bisognava bere.,Conqueror,UNLABELLED,Conqueror,2,3,132114,132129,Bisognava bere.,"['1403-1', '1403-2', '1403-3']",1475,"['AUX', 'VERB', 'PUNCT']","['bisognare', 'bere', '.']","{'AUX': 1, 'VERB': 1, 'PUNCT': 1}","{'AUX': 0.3333333333333333, 'VERB': 0.3333333333333333, 'PUNCT': 0.3333333333333333}",AUX,1.0,1.0,3
"E il maggiore ne approfittava per gettarlesi addosso, ormai convinto che non l ’ avrei giudicato.",Conqueror,UNLABELLED,Conqueror,15,18,132855,132950,"E il maggiore ne approfittava per gettarlesi addosso, ormai convinto che non l’avrei giudicato.","['1410-1', '1410-2', '1410-3', '1410-4', '1410-5', '1410-6', '1410-7', '1410-8', '1410-9', '1410-10', '1410-11', '1410-12', '1410-13', '1410-14', '1410-15', '1410-16', '1410-17', '1410-18']",1482,"['CCONJ', 'DET', 'ADJ', 'PRON', 'VERB', 'ADP', 'NOUN', 'ADV', 'PUNCT', 'ADV', 'ADJ', 'SCONJ', 'ADV', 'PRON', 'PUNCT', 'AUX', 'VERB', 'PUNCT']","['e', 'il', 'maggiore', 'ne', 'approfittare', 'per', 'gettarlese', 'addosso', ',', 'ormai', 'convinto', 'che', 'non', 'lo', '’', 'avere', 'giudicare', '.']","{'CCONJ': 1, 'DET': 1, 'ADJ': 2, 'PRON': 2, 'VERB': 2, 'ADP': 1, 'NOUN': 1, 'ADV': 3, 'PUNCT': 3, 'SCONJ': 1, 'AUX': 1}","{'CCONJ': 0.05555555555555555, 'DET': 0.05555555555555555, 'ADJ': 0.1111111111111111, 'PRON': 0.1111111111111111, 'VERB': 0.1111111111111111, 'ADP': 0.05555555555555555, 'NOUN': 0.05555555555555555, 'ADV': 0.16666666666666666, 'PUNCT': 0.16666666666666666, 'SCONJ': 0.05555555555555555, 'AUX': 0.05555555555555555}",ADV,1.0,0.875,18
"Ma la ragazza si difendeva, purtroppo senza crederci, e quella scena mi parve insopportabile.",Indigenous,UNLABELLED,Indigenous,14,17,132951,133044,"Ma la ragazza si difendeva, purtroppo senza crederci, e quella scena mi parve insopportabile.","['1411-1', '1411-2', '1411-3', '1411-4', '1411-5', '1411-6', '1411-7', '1411-8', '1411-9', '1411-10', '1411-11', '1411-12', '1411-13', '1411-14', '1411-15', '1411-16', '1411-17']",1483,"['CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'ADV', 'ADP', 'VERB', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'ADJ', 'PUNCT']","['ma', 'il', 'ragazzo', 'si', 'difendere', ',', 'purtroppo', 'senza', 'credere', ',', 'e', 'quello', 'scena', 'mi', 'parere', 'insopportabile', '.']","{'CCONJ': 2, 'DET': 2, 'NOUN': 2, 'PRON': 2, 'VERB': 3, 'PUNCT': 3, 'ADV': 1, 'ADP': 1, 'ADJ': 1}","{'CCONJ': 0.11764705882352941, 'DET': 0.11764705882352941, 'NOUN': 0.11764705882352941, 'PRON': 0.11764705882352941, 'VERB': 0.17647058823529413, 'PUNCT': 0.17647058823529413, 'ADV': 0.058823529411764705, 'ADP': 0.058823529411764705, 'ADJ': 0.058823529411764705}",VERB,0.9411764705882353,1.0,17
"Fuori c ’ era la buia notte della decadenza, senza ladri e senza nottambuli.",Description,Landscape,Description_Landscape,13,16,133098,133172,"Fuori c’era la buia notte della decadenza, senza ladri e senza nottambuli.","['1413-1', '1413-2', '1413-3', '1413-4', '1413-5', '1413-6', '1413-7', '1413-8', '1413-9', '1413-10', '1413-11', '1413-12', '1413-13', '1413-14', '1413-15', '1413-16']",1485,"['ADV', 'NOUN', 'PUNCT', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT']","['Fuori', 'c', '’', 'essere', 'il', 'buio', 'notte', 'di', 'il', 'decadenza', ',', 'senza', 'ladro', 'e', 'senza', 'nottambulo', '.']","{'ADV': 1, 'NOUN': 5, 'PUNCT': 3, 'AUX': 1, 'DET': 2, 'ADJ': 1, 'ADP': 3, 'CCONJ': 1}","{'ADV': 0.058823529411764705, 'NOUN': 0.29411764705882354, 'PUNCT': 0.17647058823529413, 'AUX': 0.058823529411764705, 'DET': 0.11764705882352941, 'ADJ': 0.058823529411764705, 'ADP': 0.17647058823529413, 'CCONJ': 0.058823529411764705}",NOUN,0.8823529411764706,1.0,17
"Ma la sentivo assente, immersa nella sua cupa pazienza, e i suoi pensieri non dovevano essere dissimili dai pensieri che precedono il sonno.",Indigenous,UNLABELLED,Indigenous,23,26,134993,135133,"Ma la sentivo assente, immersa nella sua cupa pazienza, e i suoi pensieri non dovevano essere dissimili dai pensieri che precedono il sonno.","['1432-1', '1432-2', '1432-3', '1432-4', '1432-5', '1432-6', '1432-7', '1432-8', '1432-9', '1432-10', '1432-11', '1432-12', '1432-13', '1432-14', '1432-15', '1432-16', '1432-17', '1432-18', '1432-19', '1432-20', '1432-21', '1432-22', '1432-23', '1432-24', '1432-25', '1432-26']",1504,"['CCONJ', 'PRON', 'VERB', 'ADJ', 'PUNCT', 'VERB', 'ADP', 'DET', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'DET', 'NOUN', 'ADV', 'AUX', 'AUX', 'ADJ', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']","['ma', 'la', 'sentire', 'assente', ',', 'immergere', 'in', 'il', 'suo', 'cupo', 'pazienza', ',', 'e', 'il', 'suo', 'pensiero', 'non', 'dovere', 'essere', 'dissimile', 'da', 'il', 'pensiero', 'che', 'precedere', 'il', 'sonno', '.']","{'CCONJ': 2, 'PRON': 2, 'VERB': 3, 'ADJ': 3, 'PUNCT': 3, 'ADP': 2, 'DET': 6, 'NOUN': 4, 'ADV': 1, 'AUX': 2}","{'CCONJ': 0.07142857142857142, 'PRON': 0.07142857142857142, 'VERB': 0.10714285714285714, 'ADJ': 0.10714285714285714, 'PUNCT': 0.10714285714285714, 'ADP': 0.07142857142857142, 'DET': 0.21428571428571427, 'NOUN': 0.14285714285714285, 'ADV': 0.03571428571428571, 'AUX': 0.07142857142857142}",DET,0.7857142857142857,1.2727272727272727,28
"La sua pelle non era molto chiara, e il suo sorriso era quello di un buon animale domestico che aspetta.",Description,Indigenous,Description_Indigenous,20,22,136977,137081,"La sua pelle non era molto chiara, e il suo sorriso era quello di un buon animale domestico che aspetta.","['1458-1', '1458-2', '1458-3', '1458-4', '1458-5', '1458-6', '1458-7', '1458-8', '1458-9', '1458-10', '1458-11', '1458-12', '1458-13', '1458-14', '1458-15', '1458-16', '1458-17', '1458-18', '1458-19', '1458-20', '1458-21', '1458-22']",1530,"['DET', 'DET', 'NOUN', 'ADV', 'AUX', 'ADV', 'ADJ', 'PUNCT', 'CCONJ', 'DET', 'DET', 'NOUN', 'AUX', 'PRON', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PRON', 'VERB', 'PUNCT']","['il', 'suo', 'pelle', 'non', 'essere', 'molto', 'chiaro', ',', 'e', 'il', 'suo', 'sorriso', 'essere', 'quello', 'di', 'uno', 'buono', 'animale', 'domestico', 'che', 'aspettare', '.']","{'DET': 5, 'NOUN': 3, 'ADV': 2, 'AUX': 2, 'ADJ': 3, 'PUNCT': 2, 'CCONJ': 1, 'PRON': 2, 'ADP': 1, 'VERB': 1}","{'DET': 0.22727272727272727, 'NOUN': 0.13636363636363635, 'ADV': 0.09090909090909091, 'AUX': 0.09090909090909091, 'ADJ': 0.13636363636363635, 'PUNCT': 0.09090909090909091, 'CCONJ': 0.045454545454545456, 'PRON': 0.09090909090909091, 'ADP': 0.045454545454545456, 'VERB': 0.045454545454545456}",DET,0.8636363636363636,1.2222222222222223,22
"Restava immobile, non immaginando che la vedessi con tanta lucidità.",Indigenous,UNLABELLED,Indigenous,10,12,137082,137150,"Restava immobile, non immaginando che la vedessi con tanta lucidità.","['1459-1', '1459-2', '1459-3', '1459-4', '1459-5', '1459-6', '1459-7', '1459-8', '1459-9', '1459-10', '1459-11', '1459-12']",1531,"['VERB', 'ADJ', 'PUNCT', 'ADV', 'VERB', 'SCONJ', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['restare', 'immobile', ',', 'non', 'immaginare', 'che', 'la', 'vedere', 'con', 'tanto', 'lucidità', '.']","{'VERB': 3, 'ADJ': 1, 'PUNCT': 2, 'ADV': 1, 'SCONJ': 1, 'PRON': 1, 'ADP': 1, 'DET': 1, 'NOUN': 1}","{'VERB': 0.25, 'ADJ': 0.08333333333333333, 'PUNCT': 0.16666666666666666, 'ADV': 0.08333333333333333, 'SCONJ': 0.08333333333333333, 'PRON': 0.08333333333333333, 'ADP': 0.08333333333333333, 'DET': 0.08333333333333333, 'NOUN': 0.08333333333333333}",VERB,1.0,0.6666666666666666,12
"Fui lieto trovandola nell ’ odore della donna, un odore vegetale, da albero paziente, misto a un profumo così dolce da dare la nausea.",Description,Indigenous,Description_Indigenous,23,28,137345,137477,"Fui lieto trovandola nell’odore della donna, un odore vegetale, da albero paziente, misto a un profumo così dolce da dare la nausea.","['1464-1', '1464-2', '1464-3', '1464-4', '1464-5', '1464-6', '1464-7', '1464-8', '1464-9', '1464-10', '1464-11', '1464-12', '1464-13', '1464-14', '1464-15', '1464-16', '1464-17', '1464-18', '1464-19', '1464-20', '1464-21', '1464-22', '1464-23', '1464-24', '1464-25', '1464-26', '1464-27', '1464-28']",1536,"['AUX', 'ADJ', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADV', 'ADJ', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT']","['essere', 'lieto', 'trovandolare', 'nell', '’', 'odore', 'di', 'il', 'donna', ',', 'uno', 'odore', 'vegetale', ',', 'da', 'albero', 'paziente', ',', 'misto', 'a', 'uno', 'profumo', 'così', 'dolce', 'da', 'dare', 'il', 'nausea', '.']","{'AUX': 1, 'ADJ': 5, 'VERB': 2, 'ADP': 5, 'DET': 5, 'NOUN': 6, 'PUNCT': 4, 'ADV': 1}","{'AUX': 0.034482758620689655, 'ADJ': 0.1724137931034483, 'VERB': 0.06896551724137931, 'ADP': 0.1724137931034483, 'DET': 0.1724137931034483, 'NOUN': 0.20689655172413793, 'PUNCT': 0.13793103448275862, 'ADV': 0.034482758620689655}",NOUN,0.7931034482758621,0.7857142857142857,29
"Tentai di fissare la donna negli occhi, aveva le pupille color nocciola, come del resto tutte le dame di quaggiù.",Description,Indigenous,Description_Indigenous,20,23,137594,137707,"Tentai di fissare la donna negli occhi, aveva le pupille color nocciola, come del resto tutte le dame di quaggiù.","['1467-1', '1467-2', '1467-3', '1467-4', '1467-5', '1467-6', '1467-7', '1467-8', '1467-9', '1467-10', '1467-11', '1467-12', '1467-13', '1467-14', '1467-15', '1467-16', '1467-17', '1467-18', '1467-19', '1467-20', '1467-21', '1467-22', '1467-23']",1539,"['VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'ADP', 'DET', 'NOUN', 'DET', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['tenere', 'di', 'fissare', 'il', 'donna', 'in', 'il', 'occhio', ',', 'avere', 'il', 'pupilla', 'colore', 'nocciola', ',', 'come', 'di', 'il', 'resto', 'tutto', 'il', 'dama', 'di', 'quaggiù', '.']","{'VERB': 3, 'ADP': 4, 'DET': 6, 'NOUN': 7, 'PUNCT': 3, 'ADJ': 1, 'ADV': 1}","{'VERB': 0.12, 'ADP': 0.16, 'DET': 0.24, 'NOUN': 0.28, 'PUNCT': 0.12, 'ADJ': 0.04, 'ADV': 0.04}",NOUN,0.72,0.8333333333333334,25
"Seguitai a ridere e la donna rise anche lei, pazientemente, senza capire.",Indigenous,UNLABELLED,Indigenous,12,15,137870,137943,"Seguitai a ridere e la donna rise anche lei, pazientemente, senza capire.","['1472-1', '1472-2', '1472-3', '1472-4', '1472-5', '1472-6', '1472-7', '1472-8', '1472-9', '1472-10', '1472-11', '1472-12', '1472-13', '1472-14', '1472-15']",1544,"['VERB', 'ADP', 'VERB', 'CCONJ', 'DET', 'NOUN', 'VERB', 'ADV', 'PRON', 'PUNCT', 'ADV', 'PUNCT', 'ADP', 'VERB', 'PUNCT']","['seguire', 'a', 'ridere', 'e', 'il', 'donna', 'rise', 'anche', 'lei', ',', 'pazientemente', ',', 'senza', 'capire', '.']","{'VERB': 4, 'ADP': 2, 'CCONJ': 1, 'DET': 1, 'NOUN': 1, 'ADV': 2, 'PRON': 1, 'PUNCT': 3}","{'VERB': 0.26666666666666666, 'ADP': 0.13333333333333333, 'CCONJ': 0.06666666666666667, 'DET': 0.06666666666666667, 'NOUN': 0.06666666666666667, 'ADV': 0.13333333333333333, 'PRON': 0.06666666666666667, 'PUNCT': 0.2}",VERB,0.9333333333333333,0.7142857142857143,15
"e la donna mi guardava, paziente, sorridendo, senza chiedersi la ragione del mio indugio",Indigenous,UNLABELLED,Indigenous,14,17,138863,138951,"«Supponiamo,» dissi (e la donna mi guardava, paziente, sorridendo, senza chiedersi la ragione del mio indugio) «supponiamo che io spari un colpo al ventre a questa ragazza…» Già mi chiedevo cosa poteva capirne il maggiore.","['1488-7', '1488-8', '1488-9', '1488-10', '1488-11', '1488-12', '1488-13', '1488-14', '1488-15', '1488-16', '1488-17', '1488-18', '1488-19', '1488-20', '1488-21', '1488-22', '1488-23']",1561,"['CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'PUNCT', 'ADJ', 'PUNCT', 'VERB', 'PUNCT', 'ADP', 'VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN']","['e', 'il', 'donna', 'mi', 'guardare', ',', 'paziente', ',', 'sorridere', ',', 'senza', 'chiedere', 'si', 'il', 'ragione', 'di', 'il', 'mio', 'indugio']","{'CCONJ': 1, 'DET': 4, 'NOUN': 3, 'PRON': 2, 'VERB': 3, 'PUNCT': 3, 'ADJ': 1, 'ADP': 2}","{'CCONJ': 0.05263157894736842, 'DET': 0.21052631578947367, 'NOUN': 0.15789473684210525, 'PRON': 0.10526315789473684, 'VERB': 0.15789473684210525, 'PUNCT': 0.15789473684210525, 'ADJ': 0.05263157894736842, 'ADP': 0.10526315789473684}",DET,0.7894736842105263,1.2857142857142858,19
"Nel buio improvviso sentii che tornava a tentoni verso il suo letto, cercando di ridere, cercando di sentire soprattutto il suono del mio riso, che non veniva.",Conqueror,UNLABELLED,Conqueror,27,31,140130,140289,"Nel buio improvviso sentii che tornava a tentoni verso il suo letto, cercando di ridere, cercando di sentire soprattutto il suono del mio riso, che non veniva.","['1507-1', '1507-2', '1507-3', '1507-4', '1507-5', '1507-6', '1507-7', '1507-8', '1507-9', '1507-10', '1507-11', '1507-12', '1507-13', '1507-14', '1507-15', '1507-16', '1507-17', '1507-18', '1507-19', '1507-20', '1507-21', '1507-22', '1507-23', '1507-24', '1507-25', '1507-26', '1507-27', '1507-28', '1507-29', '1507-30', '1507-31']",1581,"['ADP', 'DET', 'NOUN', 'ADJ', 'VERB', 'SCONJ', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'VERB', 'PUNCT', 'VERB', 'ADP', 'VERB', 'ADV', 'DET', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN', 'PUNCT', 'PRON', 'ADV', 'VERB', 'PUNCT']","['in', 'il', 'buio', 'improvviso', 'sentire', 'che', 'tornare', 'a', 'tentone', 'verso', 'il', 'suo', 'letto', ',', 'cercare', 'di', 'ridere', ',', 'cercare', 'di', 'sentire', 'soprattutto', 'il', 'suono', 'di', 'il', 'mio', 'riso', ',', 'che', 'non', 'venire', '.']","{'ADP': 6, 'DET': 6, 'NOUN': 5, 'ADJ': 1, 'VERB': 7, 'SCONJ': 1, 'PUNCT': 4, 'ADV': 2, 'PRON': 1}","{'ADP': 0.18181818181818182, 'DET': 0.18181818181818182, 'NOUN': 0.15151515151515152, 'ADJ': 0.030303030303030304, 'VERB': 0.21212121212121213, 'SCONJ': 0.030303030303030304, 'PUNCT': 0.12121212121212122, 'ADV': 0.06060606060606061, 'PRON': 0.030303030303030304}",VERB,0.696969696969697,0.9333333333333333,33
"Dovevo chiederle almeno il nome, sentivo il suo respiro tranquillo e il morbido corpo che riposava in un ’ attesa profonda e pigra, ma non potevo sopportare il suo odore, era un odore denso, da animale cristiano, c ’ era odore delle sacristie e dei cani randagi e anche l ’ odore delle tuberose in una stanza calda.",Description,Indigenous,Description_Indigenous,55,64,140850,141159,"Dovevo chiederle almeno il nome, sentivo il suo respiro tranquillo e il morbido corpo che riposava in un’attesa profonda e pigra, ma non potevo sopportare il suo odore, era un odore denso, da animale cristiano, c’era odore delle sacristie e dei cani randagi e anche l’odore delle tuberose in una stanza calda.","['1515-1', '1515-2', '1515-3', '1515-4', '1515-5', '1515-6', '1515-7', '1515-8', '1515-9', '1515-10', '1515-11', '1515-12', '1515-13', '1515-14', '1515-15', '1515-16', '1515-17', '1515-18', '1515-19', '1515-20', '1515-21', '1515-22', '1515-23', '1515-24', '1515-25', '1515-26', '1515-27', '1515-28', '1515-29', '1515-30', '1515-31', '1515-32', '1515-33', '1515-34', '1515-35', '1515-36', '1515-37', '1515-38', '1515-39', '1515-40', '1515-41', '1515-42', '1515-43', '1515-44', '1515-45', '1515-46', '1515-47', '1515-48', '1515-49', '1515-50', '1515-51', '1515-52', '1515-53', '1515-54', '1515-55', '1515-56', '1515-57', '1515-58', '1515-59', '1515-60', '1515-61', '1515-62', '1515-63', '1515-64']",1589,"['AUX', 'VERB', 'PRON', 'ADV', 'DET', 'NOUN', 'PUNCT', 'VERB', 'DET', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'ADJ', 'NOUN', 'PRON', 'VERB', 'ADP', 'DET', 'PUNCT', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'AUX', 'VERB', 'DET', 'DET', 'NOUN', 'PUNCT', 'AUX', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'AUX', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADV', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['dovere', 'chiedere', 'le', 'almeno', 'il', 'nome', ',', 'sentire', 'il', 'suo', 'respiro', 'tranquillo', 'e', 'il', 'morbido', 'corpo', 'che', 'riposare', 'in', 'uno', '’', 'attesa', 'profondo', 'e', 'pigro', ',', 'ma', 'non', 'potere', 'sopportare', 'il', 'suo', 'odore', ',', 'essere', 'uno', 'odore', 'denso', ',', 'da', 'animale', 'cristiano', ',', 'c', '’', 'essere', 'odore', 'di', 'il', 'sacristia', 'e', 'di', 'il', 'cane', 'randago', 'e', 'anche', 'lo', '’', 'odore', 'di', 'il', 'tuberose', 'in', 'uno', 'stanza', 'caldo', '.']","{'AUX': 4, 'VERB': 4, 'PRON': 2, 'ADV': 3, 'DET': 13, 'NOUN': 14, 'PUNCT': 8, 'ADJ': 9, 'CCONJ': 5, 'ADP': 6}","{'AUX': 0.058823529411764705, 'VERB': 0.058823529411764705, 'PRON': 0.029411764705882353, 'ADV': 0.04411764705882353, 'DET': 0.19117647058823528, 'NOUN': 0.20588235294117646, 'PUNCT': 0.11764705882352941, 'ADJ': 0.1323529411764706, 'CCONJ': 0.07352941176470588, 'ADP': 0.08823529411764706}",NOUN,0.6323529411764706,1.0,68
"Avvicinandomi alle baracche messe ai lati dell ’ ingresso, nel buio intravidi un groviglio di cenci e di carni, erano parecchi indigeni là ammucchiati, si lamentavano, ma fiocamente, come se fossero stanchi anche loro di quelle grida che non trovavano eco.",Indigenous,UNLABELLED,Indigenous,40,47,142021,142275,"Avvicinandomi alle baracche messe ai lati dell’ingresso, nel buio intravidi un groviglio di cenci e di carni, erano parecchi indigeni là ammucchiati, si lamentavano, ma fiocamente, come se fossero stanchi anche loro di quelle grida che non trovavano eco.","['1527-1', '1527-2', '1527-3', '1527-4', '1527-5', '1527-6', '1527-7', '1527-8', '1527-9', '1527-10', '1527-11', '1527-12', '1527-13', '1527-14', '1527-15', '1527-16', '1527-17', '1527-18', '1527-19', '1527-20', '1527-21', '1527-22', '1527-23', '1527-24', '1527-25', '1527-26', '1527-27', '1527-28', '1527-29', '1527-30', '1527-31', '1527-32', '1527-33', '1527-34', '1527-35', '1527-36', '1527-37', '1527-38', '1527-39', '1527-40', '1527-41', '1527-42', '1527-43', '1527-44', '1527-45', '1527-46', '1527-47']",1601,"['VERB', 'PRON', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'PUNCT', 'AUX', 'DET', 'NOUN', 'ADV', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'CCONJ', 'ADV', 'PUNCT', 'ADV', 'SCONJ', 'AUX', 'ADJ', 'ADV', 'PRON', 'ADP', 'DET', 'NOUN', 'PRON', 'ADV', 'VERB', 'NOUN', 'PUNCT']","['avvicinare', 'mi', 'a', 'il', 'baracca', 'mettere', 'a', 'il', 'lato', 'dell', '’', 'ingresso', ',', 'in', 'il', 'buio', 'intravidere', 'uno', 'groviglio', 'di', 'cencio', 'e', 'di', 'carno', ',', 'essere', 'parecchio', 'indigeno', 'là', 'ammucchiare', ',', 'si', 'lamentare', ',', 'ma', 'fiocamente', ',', 'come', 'se', 'essere', 'stanco', 'anche', 'loro', 'di', 'quello', 'gridare', 'che', 'non', 'trovare', 'eco', '.']","{'VERB': 6, 'PRON': 4, 'ADP': 7, 'DET': 7, 'NOUN': 10, 'PUNCT': 6, 'CCONJ': 2, 'AUX': 2, 'ADV': 5, 'SCONJ': 1, 'ADJ': 1}","{'VERB': 0.11764705882352941, 'PRON': 0.0784313725490196, 'ADP': 0.13725490196078433, 'DET': 0.13725490196078433, 'NOUN': 0.19607843137254902, 'PUNCT': 0.11764705882352941, 'CCONJ': 0.0392156862745098, 'AUX': 0.0392156862745098, 'ADV': 0.09803921568627451, 'SCONJ': 0.0196078431372549, 'ADJ': 0.0196078431372549}",NOUN,0.803921568627451,1.0454545454545454,51
"Il mio sguardo dovette tradire lo sgomento, ma il soldato vi lesse l ’ improvvisa felicità per quella notizia, che mi dava per primo, e che voleva significare un ’ altra tappa verso la costa, anche se la costa era ancora tanto lontana",Conqueror,UNLABELLED,Conqueror,41,47,143078,143308,"Il mio sguardo dovette tradire lo sgomento, ma il soldato vi lesse l’improvvisa felicità per quella notizia, che mi dava per primo, e che voleva significare un’altra tappa verso la costa, anche se la costa era ancora tanto lontana.","['1540-1', '1540-2', '1540-3', '1540-4', '1540-5', '1540-6', '1540-7', '1540-8', '1540-9', '1540-10', '1540-11', '1540-12', '1540-13', '1540-14', '1540-15', '1540-16', '1540-17', '1540-18', '1540-19', '1540-20', '1540-21', '1540-22', '1540-23', '1540-24', '1540-25', '1540-26', '1540-27', '1540-28', '1540-29', '1540-30', '1540-31', '1540-32', '1540-33', '1540-34', '1540-35', '1540-36', '1540-37', '1540-38', '1540-39', '1540-40', '1540-41', '1540-42', '1540-43', '1540-44', '1540-45', '1540-46', '1540-47']",1616,"['DET', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'PRON', 'VERB', 'ADP', 'ADJ', 'PUNCT', 'CCONJ', 'PRON', 'AUX', 'VERB', 'DET', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADV', 'SCONJ', 'DET', 'NOUN', 'AUX', 'ADV', 'ADV', 'ADJ']","['il', 'mio', 'sguardo', 'dovere', 'tradire', 'il', 'sgomento', ',', 'ma', 'il', 'soldato', 'vi', 'leggere', 'lo', '’', 'improvviso', 'felicità', 'per', 'quello', 'notizia', ',', 'che', 'mi', 'dare', 'per', 'primo', ',', 'e', 'che', 'volere', 'significare', 'uno', '’', 'altro', 'tappa', 'verso', 'il', 'costa', ',', 'anche', 'se', 'il', 'costa', 'essere', 'ancora', 'tanto', 'lontano']","{'DET': 9, 'NOUN': 8, 'AUX': 3, 'VERB': 4, 'PUNCT': 6, 'CCONJ': 2, 'PRON': 4, 'ADJ': 4, 'ADP': 3, 'ADV': 3, 'SCONJ': 1}","{'DET': 0.19148936170212766, 'NOUN': 0.1702127659574468, 'AUX': 0.06382978723404255, 'VERB': 0.0851063829787234, 'PUNCT': 0.1276595744680851, 'CCONJ': 0.0425531914893617, 'PRON': 0.0851063829787234, 'ADJ': 0.0851063829787234, 'ADP': 0.06382978723404255, 'ADV': 0.06382978723404255, 'SCONJ': 0.02127659574468085}",DET,0.7659574468085106,1.1578947368421053,47
